# Delete the following commented lines and place this
# file in a words/ directory.
merced	mercy
torneo	tournament
tatarabuela	great great grandmother
vergüenza	shame
mortaja	shroud
tejer	to knit
barbero	barber
instead	en lugar
apartment	apartamento
solution	solución
Budget	presupuesto
quebrantar	to break
bodega	cellar
cotidianidad	everydayness
ataúd	coffin
jubilado	retired
deprimido	depressed
jubilado	retired
sudar	to sweat
deprimido	depressed
asombrarse	to wonder
asustar	to frighten
asunto	affair
breathe	respirar
previous	anterior
pesarices	regrets
parranda	spree
pregonar	to preach
pergamino	parchment
diluvio	flood
goal	objetivo
rodear  to surround
miel    honey
suspirar    to sigh
helado  ice cream
cerradura   deadlock
despejar    to clear
pitar   to whistle
pizca   pinch
